Opponent,Score,Total,Rush,Pass,Pen,Att-Yards,Comp-Att-Int,Yards,Plays-Yards,Return-Yards,Turnovers,ThirdDownConversions,FourthDownConversions,TimeOfPossession,TopMargin,AvgYdsRush,AvgYdsPass,AvgYdsPlay,PuntsAvg,PenaltiesYards
Ohio,34-31,24/24,10/9,13/14,1/1,37-147 / 31-201,18-23-0 / 21-31-0,252/239,60-399 / 62-440,64/30,0/0,1-10 / 5-10,5-5 / 1-1,31:45 / 28:15,3:30,4.0 / 6.5,10.957 / 7.710,6.650 / 7.097,1-44 / 3-20.3,5-35 / 6-37
Miami (OH),45-17,31/14,9/5,18/8,4/1,41-162 / 22-117,26-36-0 / 14-23-1,259/251,77-421 / 45-368,122/0,0/1,7-10 / 3-8,0-1 / 0-1,39:06 / 20:54,18:12,4.0 / 5.3,7.194 / 10.913,5.468 / 8.178,1-42 / 4-43,2-14 / 10-94
Norfolk St.,60-10,33/12,14/6,18/4,1/2,46-185 / 27-128,23-35-0 / 9-23-1,378/92,81-563 / 50-220,114/10,0/3,9-14 / 2-10,3-4 / 0-0,36:05 / 23:55,12:10,4.0 / 4.7,10.800 / 4.000,6.951 / 4.400,0-0 / 7-26,5-45 / 6-47
Iowa,38-28,20/22,5/10,13/8,2/4,30-70 / 38-160,24-40-1 / 12-18-0,330/186,70-400 / 56-346,0/172,1/0,6-13 / 3-8,0-1 / 0-0,30:54 / 29:06,1:48,2.3 / 4.2,8.250 / 10.333,5.714 / 6.179,3-48 / 3-46,6-50 / 2-30
Minnesota,28-31,29/20,13/2,14/15,2/3,42-138 / 18-35,21-34-1 / 31-41-0,249/324,76-387 / 59-359,5/125,1/0,7-14 / 5-11,0-0 / 0-1,31:05 / 28:55,2:10,3.3 / 1.9,7.324 / 7.902,5.092 / 6.085,4-43.8 / 4-44.2,5-41 / 3-30
Washington,19-38,25/26,8/9,15/17,2/0,27-107 / 32-177,31-50-1 / 21-27-0,386/402,77-493 / 59-579,24/42,1/1,5-15 / 4-9,3-5 / 1-1,30:12 / 29:48,0:24,4.0 / 5.5,7.720 / 14.889,6.403 / 9.814,2-44 / 2-42,4-31 / 9-83
Oregon,56-10,12/29,9/15,3/11,0/3,42-123 / 37-415,8-27-2 / 18-24-1,79/335,69-202 / 61-750,24/-3,3/3,5-18 / 8-11,3-4 / 0-0,32:07 / 27:53,4:14,2.9 / 11.2,2.926 / 13.958,2.928 / 12.295,7-43.9 / 0-0,4-25 / 4-50
Purdue,24-27,22/14,11/7,11/6,0/1,48-184 / 28-217,19-27-0 / 13-23-0,359/128,75-543 / 51-345,0/69,1/1,4-14 / 1-9,3-4 / 2-2,36:58 / 23:02,13:56,3.8 / 7.8,13.296 / 5.565,7.240 / 6.765,3-40.3 / 5-37.6,4-46 / 0-0
Illinois,13-35,19/26,6/12,12/13,1/1,27-59 / 38-210,25-45-0 / 19-31-1,253/235,72-312 / 69-445,0/0,0/1,6-16 / 7-12,3-4 / 3-3,27:25 / 32:35,5:10,2.2 / 5.5,5.622 / 7.581,4.333 / 6.449,3-41.3 / 1-48,3-20 / 2-25
Maryland,35-20,25/14,15/12,9/2,1/0,49-256 / 29-305,13-20-2 / 15-28-1,229/98,69-485 / 57-403,19/28,2/1,8-12 / 4-12,1-2 / 1-3,34:58 / 25:02,9:56,5.2 / 10.5,11.450 / 3.500,7.029 / 7.070,2-42.5 / 3-31.3,1-5 / 5-45
Ohio State,9-42,12/25,6/12,3/10,3/3,35-66 / 38-254,10-20-0 / 14-22-0,81/176,55-147 / 60-430,15/-12,1/1,5-14 / 3-6,0-2 / 0-0,27:11 / 32:49,5:38,1.9 / 6.7,4.050 / 8.000,2.673 / 7.167,5-47.4 / 2-43,4-37 / 5-60
Penn St.,40-36,27/23,12/9,13/11,2/3,42-195 / 33-300,16-22-0 / 17-21-0,338/209,64-533 / 54-509,0/151,1/0,5-10 / 1-8,0-2 / 3-3,32:25 / 27:35,4:50,4.6 / 9.1,15.364 / 9.952,8.328 / 9.426,2-46.5 / 3-47,6-42 / 7-54
