Metric,Rutgers,Opponents
Scoring,344,382
Points Per Game,28.67,31.83
First Downs,279,249
Rushing First Downs,118,108
Passing First Downs,142,119
Penalty First Downs,19,22
Rushing Yardage,1692,2519
Passing Yardage,3193,2675
Total Offense,4885,5194
Kick Return Average,18.9,19.46
Punt Return Average,18.2,11.8
Interception Return Average,21.6,3.57
Fumbles-Lost,8-4,15-7
Penalties-Yards,49-391,59-555
Punts-Yards,33-1460,37-1371
Kickoffs-Yards,67-4034,72-4429
3rd Down Conversions,68-160,46-114
4th Down Conversions,21-34,11-15
Sacks By-Yards,11-66,38-219
Touchdowns Scored,44,50
Field Goals-Attempts,13-19,11-16
